PROGID	PRINTLAYOUT	LOCATION	REPORTFILE	ISDEFAULT	ISACTIVE	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	VIEWERTYPE	USERPARAMS	USERGROUPPARAMS	USERROLEPARAMS	DOCSTATUSPARAMS
u_hisinclaimxmtals	8. PHIC Claim Form 2 Page 3	HIS Add-On	PHIC\\claimform2_3.rpt	0	0	2013-06-28 08:05:31	manager	2014-04-08 15:13:13	manager	3	1				
u_hisinclaimxmtals	HMO/Co./LGU Transmittal Form - All	HIS Add-On	TRANS\\transmittal_hmo.rpt	0	1	2013-11-06 12:12:37	manager	2013-11-06 14:37:39	manager	5	1				
u_hisinclaimxmtals	HMO/Co./LGU Transmittal Form - IP	HIS Add-On	TRANS\\transmittal_hmo_ip.rpt	0	1	2013-11-06 14:35:58	manager	2013-11-06 14:37:39	manager	2	1				
u_hisinclaimxmtals	HMO/Co./LGU Transmittal Form - OP	HIS Add-On	TRANS\\transmittal_hmo_op.rpt	0	1	2013-11-06 14:44:15	manager	2013-11-06 14:44:15	manager	1	1				
u_hisinclaimxmtals	PHIC Transmittal Form	HIS Add-On	TRANS\\transmittal.rpt	0	0	2013-06-21 17:45:25	manager	2014-04-08 21:04:22	manager	6	1				
u_hisinclaimxmtals	PHIC Transmittal Form - Package	HIS Add-On	TRANS\\transmittal_pck.rpt	1	1	2013-06-21 18:08:41	manager	2014-04-08 15:15:06	manager	6	1				
u_hisips	Admission And Discharge Record	HIS Add-On	med_rec2.rpt	1	1	2013-07-10 18:39:22	manager	2013-07-10 18:39:22	manager	1	1				
u_hisips	HIS-REC-FR-03A(CERT OF CONFINEMENT)	HIS Add-On	mc_HIS-REC-FR-03A.rpt	0	1	2014-01-23 12:51:22	manager	2014-01-23 17:07:21	manager	5	1				
u_hisips	HIS-REC-FR-03B(CERT OF CONFINE-AP)	HIS Add-On	mc_HIS-REC-FR-03B.rpt	0	1	2014-01-23 13:40:11	manager	2014-01-23 17:07:21	manager	4	1				
u_hislabsubtests	Laboratory Sub Test Result	HIS Add-On	FORM\\lab_test_sub.rpt	1	1	2013-07-11 00:13:20	manager	2014-03-06 12:55:30	manager	2	1				
u_hislabtestrequests	Lab Form - Cash to Cash	HIS Add-On	lab_form_ca.rpt	0	1	2013-06-30 20:50:38	manager	2013-06-30 20:50:38	manager	1	1				
u_hislabtestrequests	Lab Form - Charged	HIS Add-On	lab_form_ch.rpt	1	1	2013-06-30 20:22:15	manager	2013-06-30 20:22:15	manager	1	1				
u_hislabtests	Laboratory Test Result	HIS Add-On	FORM\\lab_test_current.rpt	1	1	2014-04-03 22:35:43	manager	2014-04-03 22:35:43	manager	1	1				
u_hislabtesttypes	CBC	HIS Add-On	save_data\\lab_test_cbc.rpt	0	1	2013-06-23 20:09:38	manager	2013-06-23 20:09:38	manager	1	1				
u_hislabtesttypes	Clinical Chemistry	HIS Add-On	save_data\\lab_test_cc.rpt	0	1	2013-06-23 20:09:38	manager	2013-06-23 20:09:38	manager	1	1				
u_hislabtesttypes	Culture and Sensitivity (C/S)	HIS Add-On	save_data\\lab_test_culsen.rpt	0	1	2013-07-10 23:48:43	manager	2013-07-10 23:48:43	manager	1	1				
u_hislabtesttypes	Serology	HIS Add-On	save_data\\lab_test_sero.rpt	0	1	2013-06-23 20:09:38	manager	2013-06-23 20:09:38	manager	1	1				
u_hislabtesttypes	Urinalysis	HIS Add-On	save_data\\lab_test_uri.rpt	1	1	2013-06-23 20:09:38	manager	2013-06-23 20:09:38	manager	1	1				
u_hismedcerts	HIS-REC-FR-04A(MED CERT-IN PT)	HIS Add-On	mc_HIS-REC-FR-04A.rpt	1	1	2014-01-23 17:17:49	manager	2014-01-23 17:17:49	manager	1	1				
u_hismedcerts	HIS-REC-FR-04B(NEW OPD-MED CERT)	HIS Add-On	mc_HIS-REC-FR-04B.rpt	0	1	2014-01-23 18:17:53	manager	2014-01-23 18:17:53	manager	1	1				
u_hismedcerts	HIS-REC-FR-04C(MED CERT REHAB)	HIS Add-On	mc_HIS-REC-FR-04C.rpt	0	1	2014-02-03 13:05:28	manager	2014-02-03 13:05:28	manager	1	1				
u_hismedcerts	HIS-REC-FR-04D(DIALYSIS MED CERT)	HIS Add-On	mc_HIS-REC-FR-04D.rpt	0	1	2014-02-03 13:27:04	manager	2014-02-03 13:27:04	manager	1	1				
u_hismedcerts	HIS-REC-FR-04E(MED CERT EMPLOYMENT)	HIS Add-On	mc_HIS-REC-FR-04E.rpt	0	1	2014-02-03 13:48:48	manager	2014-02-03 13:48:48	manager	1	1				
u_hismedcerts	HIS-REC-FR-04F(MED VACCINE)	HIS Add-On	mc_HIS-REC-FR-04F.rpt	0	1	2014-02-06 14:35:43	manager	2014-02-06 14:35:43	manager	1	1				
u_hismedcerts	HIS-REC-FR-08(MED.ABSTRACT)	HIS Add-On	mc_HIS-REC-FR-08.rpt	0	1	2014-02-06 17:33:00	manager	2014-02-06 17:33:00	manager	1	1				
u_hismedlegalcerts	HIS-REC-FR-05(MEDICO-LEGAL)	HIS Add-On	mc_HIS-REC-FR-05.rpt	1	1	2014-02-06 15:13:15	manager	2014-02-06 15:13:15	manager	1	1				
u_hismedrecs	Admission And Discharge Record	HIS Add-On	med_rec.rpt	1	1	2013-06-14 15:29:03	manager	2013-07-10 18:09:40	manager	2	1				
u_hismedsupprs	By Items	HIS Add-On	whs_pur_req_item_form.rpt	0	1	2013-08-08 13:57:16	manager	2013-08-08 13:57:16	manager	1	1				
u_hismedsupprs	By Suppliers	HIS Add-On	whs_pur_req_supp_form.rpt	1	1	2013-08-08 13:57:16	manager	2013-08-08 13:57:16	manager	1	1				
u_hismedsuprequests	Requests Form	HIS Add-On	med_req.rpt	1	1	2013-07-04 00:54:52	manager	2013-07-04 01:47:20	manager	3	1				
u_hismedsups	Issuances Form	HIS Add-On	med_issue.rpt	1	1	2013-07-04 01:05:38	manager	2013-07-04 01:44:48	manager	2	1				
u_hismedsupstockrequests	Requests - Stocks	HIS Add-On	whs_req_item_form.rpt	1	1	2013-08-19 12:22:25	manager	2013-08-19 12:22:25	manager	1	1				
u_hismedsupstocktfins	Transfer-In - Stocks	HIS Add-On	whs_ti_item_form.rpt	1	1	2013-08-19 12:08:02	manager	2013-08-19 12:26:12	manager	2	1				
u_hismedsupstocktfs	Transfer-Out - Stocks	HIS Add-On	whs_to_item_form.rpt	1	1	2013-08-13 14:37:36	manager	2013-08-19 12:25:55	manager	2	1				
u_hismedsuptfins	Receipts/Returns Form	HIS Add-On	med_receipt.rpt	1	1	2013-07-04 00:51:25	manager	2013-07-09 11:54:12	manager	4	1				
u_hismedsuptfs	Delivery Form with Requested QTY	HIS Add-On	med_delivery.rpt	1	1	2013-07-04 15:09:37	manager	2013-07-04 15:09:37	manager	1	1				
u_hismedsuptfs	Returns Form	HIS Add-On	med_return.rpt	1	1	2013-07-04 01:42:17	manager	2013-07-04 01:43:26	manager	2	1				
u_hismiscrequests	MISC. REQUEST	HIS Add-On	misc_req.rpt	1	1	2014-01-09 13:47:55	manager	2014-01-09 13:47:55	manager	1	1				
u_hismiscs	Services Form	HIS Add-On	pulmo_form.rpt	1	1	2013-06-30 15:08:36	manager	2013-07-03 17:30:18	manager	3	1				
u_hisops	Admission And Discharge Record	HIS Add-On	med_rec3.rpt	1	1	2013-07-10 18:41:54	manager	2013-07-10 18:41:54	manager	1	1				
u_hisphicclaims	Attachment for more than 3 Doctors	HIS Add-On	PHIC_CL2\\claimform2_pck3.rpt	0	1	2014-04-09 22:08:06	manager	2014-04-09 22:09:03	manager	2	1				
u_hisphicclaims	PHIC CF2 Page 1	HIS Add-On	PHIC_CL2\\claimform2_pck.rpt	1	1	2014-03-13 16:31:32	manager	2014-04-09 22:08:06	manager	2	1				
u_hisphicclaims	PHIC CF2 Page 2	HIS Add-On	PHIC_CL2\\claimform2_pck2.rpt	0	1	2014-03-13 16:34:21	manager	2014-04-09 22:08:06	manager	3	1				
u_hispos	HIS - OR	HIS Add-On	BNK\\or_csh.rpt	1	1	2013-06-26 22:04:11	manager	2013-06-30 12:47:09	manager	2	1				
u_hispronotes	PHIC Claim Form 2 - Page 1	HIS Add-On	PHIC_CL2\\claimform2_pck_1.rpt	1	1	2013-08-26 19:14:36	manager	2013-08-26 19:14:36	manager	1	1				
u_hispronotes	PHIC Claim Form 2 - Page 2	HIS Add-On	PHIC_CL2\\claimform2_pck_2.rpt	0	1	2013-08-26 19:14:36	manager	2013-08-26 19:14:36	manager	1	1				
u_hispronotes	PHIC Claim Form 2 - Page 3	HIS Add-On	PHIC_CL2\\claimform2_pck_3.rpt	0	1	2013-08-26 19:14:36	manager	2013-08-26 19:14:36	manager	1	1				
u_hisrequests	Cash Sales/Requests Form	HIS Add-On	FORM\\cash.rpt	1	1	2014-03-06 18:22:01	manager	2014-03-29 04:00:05	manager	4	1				
u_hissplroomrequests	Special Room Requests Form	HIS Add-On	splroom_form_req.rpt	1	1	2013-07-04 00:32:03	manager	2013-07-04 00:32:03	manager	1	1				
u_hissplrooms	Special Rooms Forms	HIS Add-On	splroom_form.rpt	1	1	2013-07-04 00:07:34	manager	2013-07-04 00:26:51	manager	2	1				
