REPORTID	PARAMID	PARAMNAME	ALIAS	FORMAT	INPUTTYPE	DEFAULTVALUE	LINKTABLE	DESCRETEVALUE	REQUIRED	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	SETLINKTABLE	SETVALIDVALUES	SETDEFAULTVALUE	SEQ
hms_splroom	date2	to :		date	text	eval:currentdate()		1	1	2013-07-04 00:17:51	manager	2013-07-04 00:17:51	manager	1	0	0	1	2
hms_splroom	dep	Section :		any	select		u_hissections:code:name	1	0	2013-10-21 15:59:11	manager	2013-10-21 15:59:11	manager	1	1	0	0	4
hms_sumpo	bpcode	BP Code :		any	text			1	0	2013-06-20 16:09:20	manager	2013-06-20 16:09:20	manager	1	0	0	0	3
hms_sumpo	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-20 15:52:30	manager	2013-06-20 15:52:30	manager	1	1	0	1	0
hms_sumpo	date1	From :		date	text	eval:currentdate()		1	1	2013-06-20 15:52:53	manager	2013-06-20 15:52:53	manager	1	0	0	1	1
hms_sumpo	date2	to :		date	text	eval:currentdate()		1	1	2013-06-20 15:53:15	manager	2013-06-20 15:53:15	manager	1	0	0	1	2
hms_sumpo	itemcode	Item Code :		any	text			1	0	2013-06-20 16:12:38	manager	2013-06-20 16:12:38	manager	1	0	0	0	4
hms_sumpo	whs	Warehouse :		any	text			1	0	2013-06-20 16:10:20	manager	2013-06-20 16:10:20	manager	1	0	0	0	5
hms_tb	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-20 17:34:55	manager	2013-06-20 17:34:55	manager	1	1	0	1	0
hms_tb	date2	As of :		date	text	eval:currentdate()		1	1	2013-06-20 17:35:14	manager	2013-06-20 17:35:14	manager	1	0	0	1	2
hms_trans	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-21 11:32:24	manager	2013-06-21 11:32:24	manager	1	1	0	1	0
hms_trans	date1	From :		date	text	eval:currentdate()		1	1	2013-06-21 11:32:44	manager	2013-06-21 11:32:44	manager	1	0	0	1	1
hms_trans	date2	to :		date	text	eval:currentdate()		1	1	2013-06-21 11:33:00	manager	2013-06-21 11:33:00	manager	1	0	0	1	2
hms_trans	inscode	Insurance Code :		any	select			1	1	2013-06-21 11:33:22	manager	2013-12-13 14:06:47	manager	4	0	1	0	3
hms_trans	mtype	Member Type :		any	text			1	0	2013-06-21 11:33:40	manager	2013-06-21 11:33:40	manager	1	0	0	0	4
hms_transpay	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-21 13:40:14	manager	2013-06-21 13:40:14	manager	1	1	0	1	0
hms_transpay	date1	Transmittal Date From :		date	text	eval:currentdate()		1	1	2013-06-21 13:40:50	manager	2013-06-21 13:40:50	manager	1	0	0	1	1
hms_transpay	date2	Transmittal Date to :		date	text	eval:currentdate()		1	1	2013-06-21 13:41:13	manager	2013-06-21 13:41:13	manager	1	0	0	1	2
hms_transpay	date3	Payment Date As of :		date	text	eval:currentdate()		1	1	2013-06-21 13:41:43	manager	2013-06-21 13:41:43	manager	1	0	0	1	3
hms_transpay	inscode	Insurance Code :		any	select			1	1	2013-06-21 13:42:17	manager	2013-12-13 14:07:36	manager	4	0	1	0	4
hms_transpay	mtype	Member type :		any	text			1	0	2013-06-21 13:42:40	manager	2013-06-21 13:42:40	manager	1	0	0	0	5
hms_transpay	pck	Is Package :		any	select			1	0	2013-06-21 13:43:29	manager	2013-06-21 13:44:51	manager	2	0	1	0	6
hms_trans_hmo	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-11 16:47:23	manager	2013-06-11 16:53:44	manager	2	1	0	1	0
hms_trans_hmo	date1	From :		date	text	eval:currentdate()		1	1	2013-06-11 16:47:53	manager	2013-06-11 16:47:53	manager	1	0	0	1	1
hms_trans_hmo	date2	to :		date	text	eval:currentdate()		1	1	2013-06-11 16:48:16	manager	2013-06-11 16:48:16	manager	1	0	0	1	2
hms_trans_hmo	hmo	Health Insurance Code :		any	text			1	0	2013-06-11 16:50:33	manager	2013-06-11 16:52:03	manager	2	0	0	0	3
hms_trans_hmo	phic	Member Type :		any	text			1	0	2013-06-11 16:49:07	manager	2013-06-11 16:51:47	manager	2	0	0	0	4
hms_trans_phic	branch	Branch :		any	select	eval:$branch	brancheslist:branchcode:branchname	1	1	2013-06-11 09:36:45	manager	2013-06-11 09:36:45	manager	1	1	0	1	0
hms_trans_phic	date1	From :		date	text	eval:currentdate()		1	1	2013-06-11 09:37:10	manager	2013-06-11 09:37:10	manager	1	0	0	1	1
hms_trans_phic	date2	to :		date	text	eval:currentdate()		1	1	2013-06-11 09:37:32	manager	2013-06-11 09:37:32	manager	1	0	0	1	2
hms_trans_phic	phic	Member Type :		any	text			1	0	2013-06-11 09:38:46	manager	2013-06-11 09:38:46	manager	1	0	0	0	3
